품사,(다중 항목),,,,,,
,,,,,,,
평균 : 상대빈도,열 레이블,,,,,,
행 레이블,감쪽같은그녀,결백,그대를사랑,내머리속에,로망,오문희,총합계
안될-Adjective,,0.01%,,,,,0.01%
할아-Verb,,0.01%,,,,,0.01%
쳐죠-Verb,,0.01%,,,,,0.01%
찐이-Verb,,0.01%,,,,,0.01%
싶은대로-Verb,,0.01%,,,,,0.01%
해봐-Verb,,0.01%,,,,,0.01%
줘라-Verb,,0.01%,,,,,0.01%
심심하다-Adjective,,0.01%,,,,,0.01%
자련-Verb,,0.01%,,,,,0.01%
행복하세요-Adjective,,0.01%,,,,,0.01%
아니-Adjective,,0.01%,,,,,0.01%
참-Verb,,0.01%,,,,,0.01%
입니다-Adjective,,0.01%,,,,,0.01%
올랑-Verb,,0.01%,,,,,0.01%
유쾌한-Adjective,,0.01%,,,,,0.01%
이쁘니-Adjective,,0.01%,,,,,0.01%
장한길-Adjective,,0.01%,,,,,0.01%
흐린-Verb,,0.01%,,,,,0.01%
안아줘-Verb,,0.01%,,,,,0.01%
희련-Adjective,,0.01%,,,,,0.01%
지나간다-Verb,,0.01%,,,,,0.01%
쉼-Verb,,0.01%,,,,,0.01%
풀리는-Verb,,0.01%,,,,,0.01%
할까-Verb,,0.01%,,,,,0.01%
오르-Verb,,0.01%,,,,,0.01%
아파-Adjective,,0.01%,,,,,0.01%
피히히-Verb,,0.01%,,,,,0.01%
어느새-Adjective,,0.01%,,,,,0.01%
지르-Verb,,0.01%,,,,,0.01%
이라하오-Verb,,0.01%,,,,,0.01%
하고-Verb,,0.01%,,,,,0.01%
져-Verb,,0.01%,,,,,0.01%
하고오겠습니다-Verb,,0.01%,,,,,0.01%
찐이야-Verb,,0.01%,,,,,0.01%
하고파-Verb,,0.01%,,,,,0.01%
였어-Verb,,0.01%,,,,,0.01%
오고-Verb,,0.01%,,,,,0.01%
웃겨-Verb,,0.01%,,,,,0.01%
질러-Verb,,0.01%,,,,,0.01%
쎄-Adjective,,0.01%,,,,,0.01%
왔니-Verb,,0.01%,,,,,0.01%
행복하-Adjective,,0.01%,,,,,0.01%
신난-Adjective,,0.01%,,,,,0.01%
쏘디-Verb,,0.01%,,,,,0.01%
씹-Verb,,0.01%,,,,,0.01%
오다-Verb,,0.01%,,,,,0.01%
안줄래-Verb,,0.01%,,,,,0.01%
없는-Adjective,,0.01%,,,,,0.01%
하셨어요-Verb,,0.01%,,,,,0.01%
작은-Adjective,,0.01%,,,,,0.01%
하실-Verb,,0.01%,,,,,0.01%
허인아-Verb,,0.01%,,,,,0.01%
쎈-Adjective,,0.01%,,,,,0.01%
조아라-Adjective,,0.01%,,,,,0.01%
짠-Verb,,0.01%,,,,,0.01%
후리은-Verb,,0.01%,,,,,0.01%
하자-Verb,,0.01%,,,,,0.01%
이쁘다-Adjective,,0.01%,,,,,0.01%
하자아-Verb,,0.01%,,,,,0.01%
흐르는-Verb,,0.01%,,,,,0.01%
앉아-Verb,,0.01%,,,,,0.01%
출-Verb,,0.01%,,,,,0.01%
절묘한-Adjective,,0.01%,,,,,0.01%
싼다라-Verb,,0.01%,,,,,0.01%
정직한-Adjective,,0.01%,,,,,0.01%
희야-Adjective,,0.01%,,,,,0.01%
이야이야-Verb,,0.01%,,,,,0.01%
작은것에도-Adjective,,0.01%,,,,,0.01%
잘나가-Verb,,0.01%,,,,,0.01%
채이-Verb,,0.01%,,,,,0.01%
할-Verb,,0.01%,,,,,0.01%
할게요-Verb,,0.01%,,,,,0.01%
우빈-Verb,,0.01%,,,,,0.01%
꺼-Verb,,0.01%,,,,,0.01%
불타는-Adjective,,0.01%,,,,,0.01%
나다나엘-Verb,,0.01%,,,,,0.01%
드리-Verb,,0.01%,,,,,0.01%
빠라-Adjective,,0.01%,,,,,0.01%
그러고-Adjective,,0.01%,,,,,0.01%
몰랑-Verb,,0.01%,,,,,0.01%
대박나자-Verb,,0.01%,,,,,0.01%
메디-Verb,,0.01%,,,,,0.01%
많은-Adjective,,0.01%,,,,,0.01%
비추는-Verb,,0.01%,,,,,0.01%
단러-Verb,,0.01%,,,,,0.01%
멤-Verb,,0.01%,,,,,0.01%
바로잡기-Verb,,0.01%,,,,,0.01%
나군-Verb,,0.01%,,,,,0.01%
들린-Verb,,0.01%,,,,,0.01%
미다-Adjective,,0.01%,,,,,0.01%
맑아실-Adjective,,0.01%,,,,,0.01%
솔직히-Adjective,,0.01%,,,,,0.01%
검도운-Adjective,,0.01%,,,,,0.01%
부르-Verb,,0.01%,,,,,0.01%
맛있다-Adjective,,0.01%,,,,,0.01%
놈시러-Verb,,0.01%,,,,,0.01%
노은-Verb,,0.01%,,,,,0.01%
빗우-Verb,,0.01%,,,,,0.01%
녹슨못-Verb,,0.01%,,,,,0.01%
빠진-Verb,,0.01%,,,,,0.01%
맞추면-Verb,,0.01%,,,,,0.01%
긋-Verb,,0.01%,,,,,0.01%
감사하는-Verb,,0.01%,,,,,0.01%
간단하게-Adjective,,0.01%,,,,,0.01%
낀-Verb,,0.01%,,,,,0.01%
나잘해-Adjective,,0.01%,,,,,0.01%
더잘-Adjective,,0.01%,,,,,0.01%
기노-Verb,,0.01%,,,,,0.01%
먹-Verb,,0.01%,,,,,0.01%
성나-Verb,,0.01%,,,,,0.01%
반하다-Adjective,,0.01%,,,,,0.01%
는-Verb,,0.01%,,,,,0.01%
딱이-Adjective,,0.01%,,,,,0.01%
마냐-Verb,,0.01%,,,,,0.01%
밝-Verb,,0.01%,,,,,0.01%
꿀용-Verb,,0.01%,,,,,0.01%
가이-Verb,,0.01%,,,,,0.01%
분노한-Adjective,,0.01%,,,,,0.01%
같은-Adjective,,0.01%,,,,,0.01%
붉은-Adjective,,0.01%,,,,,0.01%
먹어라-Verb,,0.01%,,,,,0.01%
떠나-Verb,,0.01%,,,,,0.01%
놀자-Verb,,0.01%,,,,,0.01%
